# Swift-BAT daily average light curve for GX 3+1                        
# Generated Sun Jul 15 08:50:44 UTC 2018
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53685       0.00422820     0.00124564   2005         315     0.00100554     0.00014799      0    7608.00000000  4415.15625000  7608.00000000
      53687       0.00274273     0.00505391   2005         317     0.00410813     0.00009600      0     768.00000000   312.00000000   768.00000000
      53691      -0.00446058     0.00631755   2005         321     0.00513465    -0.00015612      0     352.00000000   275.00000000   352.00000000
      53692      -0.00092782     0.00732239   2005         322     0.00595311    -0.00003247      0     192.00000000    92.25000000   192.00000000
      53693       0.00181801     0.01013875   2005         323     0.00824272     0.00006363      2     448.00000000   120.75000000   448.00000000
      53694       0.00090269     0.00478310   2005         324     0.00388861     0.00003159      0     760.00000000   537.68750000   760.00000000
      53695       0.00015712     0.00450653   2005         325     0.00366384     0.00000550      0     384.00000000   285.00000000   384.00000000
      53696       0.01005780     0.00530261   2005         326     0.00430156     0.00035202      0     448.00000000   283.00000000   448.00000000
      53697      -0.00279319     0.00400199   2005         327     0.00325268    -0.00009776      0     944.00000000   583.25000000   944.00000000
      53698       0.01182342     0.00489129   2005         328     0.00396240     0.00041382      0     840.00000000   390.46875000   840.00000000
      53700       0.00901068     0.00431321   2005         330     0.00349729     0.00031537      0    1096.00000000   497.21875000  1096.00000000
      53701      -0.00645273     0.00447601   2005         331     0.00363440    -0.00022585      0     832.00000000   403.50000000   832.00000000
      53702       0.00260519     0.00685913   2005         332     0.00557604     0.00009118      0     376.00000000   111.62500000   376.00000000
      53706       0.00194042     0.00596621   2005         336     0.00485026     0.00006791      0    1616.00000000   306.48632812  1616.00000000
      53707       0.00439720     0.00899057   2005         337     0.00730833     0.00015390      2     576.00000000    82.00000000    64.00000000
      53708       0.00216378     0.00388535   2005         338     0.00315822     0.00007573      0    3120.00000000   442.31250000  1848.00000000
      53709       0.00345260     0.00401816   2005         339     0.00326532     0.00012084      0    2544.00000000   437.00000000   576.00000000
      53710       0.00245054     0.00399108   2005         340     0.00324403     0.00008577      0    1544.00000000   344.10937500  1544.00000000
      53711      -0.00669387     0.00958832   2005         341     0.00779306    -0.00023429      2     688.00000000    98.75000000   688.00000000
      53712       0.00945093     0.00834156   2005         342     0.00677643     0.00033078      0     752.00000000   114.28125000   752.00000000
      53713      -0.00447274     0.00990751   2005         343     0.00805388    -0.00015655      2     576.00000000    79.87500000   576.00000000
